order_id,order_date,customer_id,product_id,store_id,quantity,sales,discount,profit,payment_mode,order_status
1,2025-03-02,362,26,20,1,5327.2,20,2586.2,Debit Card,Delivered
2,2023-11-04,198,41,13,5,23709.0,30,-381.0,Debit Card,Delivered
3,2023-10-17,336,1,9,5,12138.75,25,-716.25,Debit Card,Delivered
4,2023-06-23,383,51,2,4,16461.6,5,5493.6,Debit Card,Cancelled
5,2024-11-03,426,25,5,4,11376.0,25,8000.0,Credit Card,Returned
6,2025-05-17,29,14,19,5,20330.0,0,-4250.0,Net Banking,Delivered
7,2024-09-24,151,19,10,1,5051.7,10,3444.7,Credit Card,Delivered
8,2025-09-22,222,48,4,3,5880.0,30,-2160.0,Credit Card,Delivered
9,2023-06-08,76,1,17,2,6150.3,5,1008.3,Debit Card,Delivered
10,2025-12-14,372,24,19,5,16947.0,30,-453.0,UPI,Returned
11,2023-09-26,85,29,2,3,2467.5,30,-2263.5,Net Banking,Delivered
12,2024-01-06,68,50,8,2,2198.3,5,-6513.7,Net Banking,Delivered
13,2025-04-21,235,20,15,4,24796.0,0,8920.0,Debit Card,Returned
14,2024-08-06,373,29,7,2,1997.5,15,-1156.5,Cash,Delivered
15,2024-09-25,175,24,6,5,22999.5,5,5599.5,Cash,Delivered
16,2025-06-21,133,61,13,3,7161.75,25,1935.75,Cash,Delivered
17,2025-12-16,250,44,7,4,18201.6,20,6813.6,Cash,Delivered
18,2023-10-11,229,21,5,2,1779.4,30,-4548.6,Debit Card,Delivered
19,2025-01-30,261,57,8,4,14851.2,30,-1108.8,Net Banking,Delivered
20,2023-09-13,389,1,14,5,11329.5,30,-1525.5,Debit Card,Delivered
21,2025-07-09,2,34,4,2,4473.0,10,1655.0,Net Banking,Delivered
22,2024-03-30,384,59,1,4,16936.0,0,14792.0,Cash,Delivered
23,2023-04-20,302,21,2,1,1080.35,15,-2083.65,Cash,Cancelled
24,2025-03-01,195,58,14,3,18818.55,5,4598.55,UPI,Delivered
25,2024-10-14,358,24,1,2,9684.0,0,2724.0,UPI,Returned
26,2023-10-27,254,60,5,3,12366.9,30,-2282.1,Credit Card,Delivered
27,2025-08-25,119,13,19,3,6539.4,30,4028.4,Credit Card,Returned
28,2023-01-11,171,2,2,4,2084.2,15,-2643.8,UPI,Delivered
29,2023-11-03,362,5,9,3,10442.4,5,6668.4,Net Banking,Returned
30,2025-05-16,198,65,13,5,25604.0,20,10539.0,UPI,Delivered
31,2023-09-07,162,45,17,2,3214.8,10,-2363.2,UPI,Delivered
32,2025-07-25,452,11,14,4,12369.0,25,10185.0,UPI,Delivered
33,2023-02-03,341,21,11,4,4067.2,20,-8588.8,Net Banking,Cancelled
34,2023-10-22,400,24,9,2,7263.0,25,303.0,Debit Card,Delivered
35,2024-12-23,36,53,12,1,2856.0,20,2190.0,Credit Card,Cancelled
36,2023-06-25,202,17,11,4,14698.4,5,10126.4,Net Banking,Delivered
37,2025-11-05,209,45,20,1,1428.8,20,-1360.2,Net Banking,Cancelled
38,2025-08-20,312,46,6,1,942.65,15,-2859.35,UPI,Returned
39,2024-06-03,100,50,7,4,4165.2,10,-13258.8,UPI,Delivered
40,2024-05-08,166,35,7,1,1574.1,10,532.1,UPI,Cancelled
41,2023-04-01,304,48,15,3,7980.0,5,-60.0,Debit Card,Cancelled
42,2023-12-25,21,54,18,3,2473.8,30,-5179.2,Cash,Returned
43,2024-01-09,486,53,13,4,10710.0,25,8046.0,Credit Card,Delivered
44,2024-08-23,272,22,9,4,5668.0,0,-9440.0,Credit Card,Delivered
45,2024-10-08,65,23,10,2,8238.0,0,3852.0,Debit Card,Cancelled
46,2025-08-27,276,60,8,4,16489.2,30,-3042.8,Debit Card,Delivered
47,2025-01-01,132,21,18,2,2287.8,10,-4040.2,UPI,Returned
48,2023-09-12,435,18,7,3,8667.0,10,7557.0,Debit Card,Delivered
49,2025-06-19,363,25,10,4,11376.0,25,8000.0,Cash,Delivered
50,2025-10-15,57,24,11,2,8231.4,15,1271.4,Debit Card,Cancelled
51,2023-06-19,78,25,15,3,7963.2,30,5431.2,Cash,Delivered
52,2024-01-05,230,20,9,4,19836.8,20,3960.8,Net Banking,Delivered
53,2023-06-13,150,20,15,3,18597.0,0,6690.0,Debit Card,Returned
54,2025-07-02,113,31,3,3,13219.2,10,9817.2,Net Banking,Returned
55,2025-06-28,46,36,12,4,8230.8,5,-953.2,Debit Card,Delivered
