return_id,order_id,return_status,return_reason
1,5,Returned,Defective Product
2,10,Returned,Damaged Product
3,13,Returned,Late Delivery
4,25,Returned,Late Delivery
5,27,Returned,Customer Changed Mind
6,29,Returned,Defective Product
7,38,Returned,Damaged Product
8,42,Returned,Late Delivery
9,47,Returned,Defective Product
10,53,Returned,Wrong Item
11,54,Returned,Damaged Product
12,57,Returned,Late Delivery
13,63,Returned,Customer Changed Mind
14,64,Returned,Damaged Product
15,69,Returned,Wrong Item
16,82,Returned,Customer Changed Mind
17,84,Returned,Defective Product
18,87,Returned,Defective Product
19,92,Returned,Damaged Product
20,107,Returned,Wrong Item
21,111,Returned,Customer Changed Mind
22,124,Returned,Customer Changed Mind
23,133,Returned,Late Delivery
24,134,Returned,Late Delivery
25,139,Returned,Damaged Product
26,140,Returned,Wrong Item
27,142,Returned,Damaged Product
28,149,Returned,Damaged Product
29,155,Returned,Late Delivery
30,156,Returned,Damaged Product
31,158,Returned,Damaged Product
32,161,Returned,Defective Product
33,166,Returned,Defective Product
34,177,Returned,Late Delivery
35,181,Returned,Customer Changed Mind
36,202,Returned,Late Delivery
37,215,Returned,Late Delivery
38,226,Returned,Customer Changed Mind
39,228,Returned,Wrong Item
40,231,Returned,Defective Product
41,236,Returned,Defective Product
42,244,Returned,Damaged Product
43,251,Returned,Defective Product
44,252,Returned,Late Delivery
45,256,Returned,Wrong Item
46,262,Returned,Customer Changed Mind
47,268,Returned,Late Delivery
48,271,Returned,Damaged Product
49,273,Returned,Customer Changed Mind
50,281,Returned,Wrong Item
51,283,Returned,Defective Product
52,291,Returned,Wrong Item
53,303,Returned,Defective Product
54,307,Returned,Late Delivery
55,313,Returned,Damaged Product
56,316,Returned,Customer Changed Mind
57,317,Returned,Wrong Item
58,324,Returned,Late Delivery
59,328,Returned,Late Delivery
60,331,Returned,Wrong Item
61,332,Returned,Wrong Item
62,333,Returned,Damaged Product
63,334,Returned,Late Delivery
64,338,Returned,Wrong Item
65,346,Returned,Defective Product
66,349,Returned,Late Delivery
67,351,Returned,Damaged Product
68,359,Returned,Late Delivery
69,362,Returned,Late Delivery
70,365,Returned,Damaged Product
71,366,Returned,Damaged Product
72,374,Returned,Wrong Item
73,377,Returned,Late Delivery
74,385,Returned,Wrong Item
75,388,Returned,Late Delivery
76,390,Returned,Customer Changed Mind
77,392,Returned,Damaged Product
78,394,Returned,Damaged Product
79,405,Returned,Customer Changed Mind
80,408,Returned,Defective Product
81,418,Returned,Defective Product
82,436,Returned,Customer Changed Mind
83,437,Returned,Late Delivery
84,439,Returned,Damaged Product
85,443,Returned,Late Delivery
86,449,Returned,Damaged Product
87,454,Returned,Wrong Item
88,467,Returned,Defective Product
89,471,Returned,Damaged Product
90,472,Returned,Defective Product
91,475,Returned,Late Delivery
92,476,Returned,Damaged Product
93,486,Returned,Defective Product
94,488,Returned,Damaged Product
95,490,Returned,Late Delivery
96,511,Returned,Damaged Product
97,513,Returned,Late Delivery
98,515,Returned,Damaged Product
99,517,Returned,Wrong Item
100,518,Returned,Damaged Product
101,519,Returned,Damaged Product
102,520,Returned,Customer Changed Mind
103,537,Returned,Late Delivery
104,546,Returned,Damaged Product
105,551,Returned,Late Delivery
106,562,Returned,Late Delivery
107,569,Returned,Damaged Product
108,573,Returned,Late Delivery
109,575,Returned,Customer Changed Mind
110,577,Returned,Defective Product
111,589,Returned,Defective Product
112,599,Returned,Wrong Item
113,604,Returned,Wrong Item
114,605,Returned,Wrong Item
115,606,Returned,Customer Changed Mind
116,607,Returned,Customer Changed Mind
117,611,Returned,Defective Product
118,626,Returned,Wrong Item
119,627,Returned,Customer Changed Mind
120,634,Returned,Defective Product
121,640,Returned,Defective Product
122,642,Returned,Defective Product
123,667,Returned,Late Delivery
124,669,Returned,Customer Changed Mind
125,677,Returned,Wrong Item
126,681,Returned,Defective Product
127,685,Returned,Customer Changed Mind
128,691,Returned,Defective Product
129,695,Returned,Wrong Item
130,701,Returned,Damaged Product
131,716,Returned,Defective Product
132,723,Returned,Wrong Item
133,724,Returned,Late Delivery
134,730,Returned,Wrong Item
135,733,Returned,Wrong Item
136,736,Returned,Defective Product
137,747,Returned,Damaged Product
138,752,Returned,Customer Changed Mind
139,753,Returned,Damaged Product
140,770,Returned,Late Delivery
141,781,Returned,Customer Changed Mind
142,783,Returned,Wrong Item
143,786,Returned,Customer Changed Mind
144,787,Returned,Damaged Product
145,789,Returned,Customer Changed Mind
146,795,Returned,Damaged Product
147,800,Returned,Wrong Item
148,805,Returned,Late Delivery
149,827,Returned,Damaged Product
150,829,Returned,Wrong Item
151,842,Returned,Customer Changed Mind
152,849,Returned,Wrong Item
153,850,Returned,Defective Product
154,856,Returned,Late Delivery
155,857,Returned,Defective Product
156,861,Returned,Damaged Product
157,862,Returned,Wrong Item
158,867,Returned,Late Delivery
159,880,Returned,Defective Product
160,885,Returned,Damaged Product
161,889,Returned,Defective Product
162,894,Returned,Wrong Item
163,899,Returned,Customer Changed Mind
164,900,Returned,Customer Changed Mind
165,903,Returned,Defective Product
166,905,Returned,Late Delivery
167,909,Returned,Wrong Item
168,911,Returned,Customer Changed Mind
169,919,Returned,Late Delivery
170,920,Returned,Wrong Item
171,923,Returned,Customer Changed Mind
172,925,Returned,Late Delivery
173,932,Returned,Wrong Item
174,940,Returned,Damaged Product
175,949,Returned,Late Delivery
176,959,Returned,Late Delivery
177,970,Returned,Defective Product
178,979,Returned,Late Delivery
179,984,Returned,Late Delivery
180,997,Returned,Customer Changed Mind
181,1003,Returned,Defective Product
182,1005,Returned,Damaged Product
183,1017,Returned,Late Delivery
184,1034,Returned,Damaged Product
185,1040,Returned,Defective Product
186,1043,Returned,Defective Product
187,1046,Returned,Late Delivery
188,1053,Returned,Damaged Product
189,1055,Returned,Late Delivery
190,1062,Returned,Customer Changed Mind
191,1068,Returned,Wrong Item
192,1075,Returned,Damaged Product
193,1081,Returned,Defective Product
194,1086,Returned,Customer Changed Mind
195,1088,Returned,Defective Product
196,1090,Returned,Defective Product
197,1096,Returned,Defective Product
198,1098,Returned,Customer Changed Mind
199,1099,Returned,Customer Changed Mind
200,1109,Returned,Wrong Item
201,1116,Returned,Wrong Item
202,1117,Returned,Damaged Product
203,1118,Returned,Wrong Item
204,1119,Returned,Wrong Item
205,1125,Returned,Damaged Product
206,1137,Returned,Late Delivery
207,1140,Returned,Wrong Item
208,1149,Returned,Wrong Item
209,1161,Returned,Wrong Item
210,1167,Returned,Wrong Item
211,1170,Returned,Defective Product
212,1174,Returned,Defective Product
213,1181,Returned,Wrong Item
214,1184,Returned,Damaged Product
215,1186,Returned,Defective Product
216,1190,Returned,Customer Changed Mind
217,1197,Returned,Damaged Product
218,1208,Returned,Wrong Item
219,1212,Returned,Late Delivery
220,1214,Returned,Damaged Product
221,1218,Returned,Defective Product
222,1222,Returned,Wrong Item
223,1234,Returned,Customer Changed Mind
224,1236,Returned,Damaged Product
225,1237,Returned,Late Delivery
226,1240,Returned,Damaged Product
227,1244,Returned,Damaged Product
228,1248,Returned,Late Delivery
229,1254,Returned,Wrong Item
230,1258,Returned,Defective Product
231,1259,Returned,Customer Changed Mind
232,1266,Returned,Customer Changed Mind
233,1267,Returned,Customer Changed Mind
234,1277,Returned,Defective Product
235,1279,Returned,Late Delivery
236,1287,Returned,Customer Changed Mind
237,1291,Returned,Damaged Product
238,1295,Returned,Customer Changed Mind
239,1304,Returned,Wrong Item
240,1307,Returned,Customer Changed Mind
241,1316,Returned,Damaged Product
242,1328,Returned,Wrong Item
243,1331,Returned,Customer Changed Mind
244,1338,Returned,Late Delivery
245,1343,Returned,Customer Changed Mind
246,1344,Returned,Defective Product
247,1354,Returned,Defective Product
248,1355,Returned,Customer Changed Mind
249,1363,Returned,Customer Changed Mind
250,1364,Returned,Wrong Item
251,1376,Returned,Customer Changed Mind
252,1385,Returned,Defective Product
253,1386,Returned,Damaged Product
254,1393,Returned,Late Delivery
255,1402,Returned,Wrong Item
256,1411,Returned,Customer Changed Mind
257,1420,Returned,Wrong Item
258,1424,Returned,Defective Product
259,1435,Returned,Damaged Product
260,1440,Returned,Defective Product
261,1453,Returned,Defective Product
262,1454,Returned,Wrong Item
263,1456,Returned,Wrong Item
264,1463,Returned,Wrong Item
265,1467,Returned,Damaged Product
266,1472,Returned,Defective Product
267,1477,Returned,Customer Changed Mind
268,1481,Returned,Damaged Product
269,1487,Returned,Damaged Product
270,1491,Returned,Defective Product
271,1492,Returned,Defective Product
272,1494,Returned,Defective Product
273,1500,Returned,Wrong Item
274,1501,Returned,Late Delivery
275,1502,Returned,Customer Changed Mind
276,1504,Returned,Customer Changed Mind
277,1505,Returned,Damaged Product
278,1510,Returned,Customer Changed Mind
279,1512,Returned,Late Delivery
280,1515,Returned,Damaged Product
281,1516,Returned,Defective Product
282,1526,Returned,Customer Changed Mind
283,1527,Returned,Wrong Item
284,1530,Returned,Damaged Product
285,1531,Returned,Damaged Product
286,1532,Returned,Defective Product
287,1537,Returned,Defective Product
288,1563,Returned,Customer Changed Mind
289,1571,Returned,Wrong Item
290,1574,Returned,Customer Changed Mind
291,1576,Returned,Customer Changed Mind
292,1577,Returned,Defective Product
293,1579,Returned,Wrong Item
294,1582,Returned,Defective Product
295,1590,Returned,Damaged Product
296,1593,Returned,Customer Changed Mind
297,1600,Returned,Defective Product
298,1605,Returned,Defective Product
299,1621,Returned,Customer Changed Mind
300,1623,Returned,Damaged Product
301,1643,Returned,Damaged Product
302,1659,Returned,Customer Changed Mind
303,1662,Returned,Customer Changed Mind
304,1666,Returned,Defective Product
305,1669,Returned,Defective Product
306,1676,Returned,Damaged Product
307,1679,Returned,Wrong Item
308,1690,Returned,Customer Changed Mind
309,1693,Returned,Defective Product
310,1695,Returned,Damaged Product
311,1708,Returned,Late Delivery
312,1709,Returned,Wrong Item
313,1710,Returned,Late Delivery
314,1715,Returned,Wrong Item
315,1721,Returned,Defective Product
316,1732,Returned,Late Delivery
317,1735,Returned,Customer Changed Mind
318,1749,Returned,Late Delivery
319,1752,Returned,Defective Product
320,1758,Returned,Damaged Product
321,1759,Returned,Customer Changed Mind
322,1761,Returned,Defective Product
323,1764,Returned,Damaged Product
324,1766,Returned,Customer Changed Mind
325,1776,Returned,Defective Product
326,1786,Returned,Wrong Item
327,1788,Returned,Wrong Item
328,1790,Returned,Late Delivery
329,1792,Returned,Damaged Product
330,1802,Returned,Defective Product
331,1803,Returned,Defective Product
332,1805,Returned,Customer Changed Mind
333,1812,Returned,Defective Product
334,1815,Returned,Customer Changed Mind
335,1816,Returned,Damaged Product
336,1820,Returned,Wrong Item
337,1821,Returned,Damaged Product
338,1824,Returned,Damaged Product
339,1832,Returned,Defective Product
340,1833,Returned,Damaged Product
341,1836,Returned,Defective Product
342,1845,Returned,Wrong Item
343,1854,Returned,Late Delivery
344,1860,Returned,Defective Product
345,1861,Returned,Damaged Product
346,1875,Returned,Defective Product
347,1877,Returned,Defective Product
348,1887,Returned,Late Delivery
349,1899,Returned,Late Delivery
350,1906,Returned,Late Delivery
351,1918,Returned,Defective Product
352,1937,Returned,Customer Changed Mind
353,1939,Returned,Defective Product
354,1940,Returned,Defective Product
355,1946,Returned,Damaged Product
356,1950,Returned,Late Delivery
357,1959,Returned,Defective Product
358,1960,Returned,Wrong Item
359,1962,Returned,Wrong Item
360,1964,Returned,Late Delivery
361,1965,Returned,Customer Changed Mind
362,1968,Returned,Late Delivery
363,1971,Returned,Defective Product
364,1972,Returned,Customer Changed Mind
365,1991,Returned,Customer Changed Mind
366,1992,Returned,Wrong Item
367,1997,Returned,Customer Changed Mind
368,1998,Returned,Damaged Product
369,2001,Returned,Wrong Item
370,2007,Returned,Damaged Product
371,2013,Returned,Wrong Item
372,2018,Returned,Damaged Product
373,2037,Returned,Defective Product
374,2038,Returned,Damaged Product
375,2053,Returned,Customer Changed Mind
376,2054,Returned,Customer Changed Mind
377,2061,Returned,Customer Changed Mind
378,2063,Returned,Late Delivery
379,2066,Returned,Damaged Product
380,2075,Returned,Late Delivery
381,2077,Returned,Defective Product
382,2080,Returned,Defective Product
383,2082,Returned,Customer Changed Mind
384,2084,Returned,Late Delivery
385,2089,Returned,Wrong Item
386,2097,Returned,Damaged Product
387,2110,Returned,Defective Product
388,2113,Returned,Customer Changed Mind
389,2119,Returned,Defective Product
390,2121,Returned,Damaged Product
391,2129,Returned,Wrong Item
392,2146,Returned,Customer Changed Mind
393,2164,Returned,Defective Product
394,2165,Returned,Wrong Item
395,2172,Returned,Late Delivery
396,2196,Returned,Wrong Item
397,2198,Returned,Customer Changed Mind
398,2220,Returned,Damaged Product
399,2227,Returned,Wrong Item
400,2230,Returned,Customer Changed Mind
401,2238,Returned,Defective Product
402,2248,Returned,Defective Product
403,2249,Returned,Customer Changed Mind
404,2250,Returned,Damaged Product
405,2261,Returned,Late Delivery
406,2262,Returned,Damaged Product
407,2266,Returned,Late Delivery
408,2271,Returned,Late Delivery
409,2274,Returned,Customer Changed Mind
410,2277,Returned,Defective Product
411,2282,Returned,Damaged Product
412,2283,Returned,Wrong Item
413,2317,Returned,Customer Changed Mind
414,2321,Returned,Wrong Item
415,2328,Returned,Damaged Product
416,2329,Returned,Late Delivery
417,2337,Returned,Wrong Item
418,2348,Returned,Damaged Product
419,2355,Returned,Customer Changed Mind
420,2360,Returned,Late Delivery
421,2366,Returned,Customer Changed Mind
422,2369,Returned,Wrong Item
423,2378,Returned,Late Delivery
424,2385,Returned,Customer Changed Mind
425,2390,Returned,Defective Product
426,2391,Returned,Defective Product
427,2394,Returned,Late Delivery
428,2403,Returned,Late Delivery
429,2413,Returned,Wrong Item
